time,ym,indmc,proddome,prodabroad,prodability,prodoper,prod,uib,uibmoney,numD,numDfull,numDpart,numE,numEfull,numEpart,matched,matchedfull,matchedpart,hire,hirefull,hirepart,EXIT,EXITfull,EXITpart,left,leftfull,leftpart,hour,hourfull,hourpart,wage_tot,wage_totfull,wage_totpart,E9
2009. 06,593,10,89.831,90.946,94.437,95.961,89.873,,,180495,146660,33457,3117,1737,1379,12057,3466,8591,11749,3224,8526,9482,3638,5844,5338,2890,2448,,,,,,,
2009. 07,594,10,89.306,83.497,94.437,97.464,90.262,,,180446,147196,33063,2405,2030,375,8576,3668,4908,8254,3346,4908,8435,3849,4586,4305,2992,1314,,,,,,,
2009. 08,595,10,88.171,83.711,94.437,95.885,89.608,,,181609,146274,35169,3221,2206,1015,7481,3366,4115,7344,3229,4115,6297,3238,3059,3699,2617,1082,,,,,,,
2009. 09,596,10,92.186,88.033,94.534,97.942,91.546,,,183671,147160,36326,2719,2175,544,9262,3503,5760,9040,3297,5743,7220,2663,4557,3927,2268,1659,,,,,,,
2009. 10,597,10,90,82.096,94.534,93.516,86.989,,,184037,147236,36651,2424,2053,371,7478,3484,3994,7323,3330,3993,7076,2926,4150,3696,2145,1551,,,,,,,
2009. 11,598,10,90.61,96.781,94.534,94.864,90.028,,,185395,148377,36994,2618,1910,708,7514,3289,4225,7057,2833,4224,6031,2859,3171,3480,2288,1192,,,,,,,
2009. 12,599,10,90.872,87.82,94.437,97.861,90.793,,,185653,146693,38711,2725,1951,775,7155,3248,3906,6754,2848,3906,7121,3745,3377,3607,2336,1272,,,,,,,
2010. 01,600,10,90.713,89.239,94.862,98.038,91.077,,,187289,148145,38673,3503,2509,994,9328,3555,5773,8564,2791,5772,7914,3118,4795,3151,2117,1034,,,,,,,
2010. 02,601,10,93.433,92.022,94.862,99.727,92.862,,,184503,147145,36766,4872,3420,1452,6663,2809,3854,6052,2544,3509,9570,3558,6012,4745,2498,2248,,,,,,,
2010. 03,602,10,92.964,85.807,94.862,99.019,91.013,,,183836,147294,35959,4921,3689,1231,7281,3839,3443,6698,3265,3433,7939,3237,4703,3974,2623,1351,,,,,,,
2010. 04,603,10,92.026,88.776,94.957,99.728,91.184,,,183783,148774,34409,4343,3395,948,7185,3644,3541,6867,3326,3541,7255,3039,4216,3561,2443,1118,,,,,,,
2010. 05,604,10,92.589,87.941,94.957,99.437,91.499,,,185031,151656,32865,4067,3214,853,8846,4805,4041,7348,3316,4032,7508,3399,4109,3978,2817,1161,,,,,,,
2010. 06,605,10,94.465,89.703,95.243,100.426,93.622,,,185553,151252,33794,4043,3319,723,9613,3321,6292,9550,3257,6292,9088,3943,5145,4388,3148,1240,,,,,,,
2010. 07,606,10,95.028,94.341,95.147,101.931,94.23,,,187895,151557,35851,4053,3052,1001,11603,4918,6685,11315,4630,6685,9241,3677,5565,4896,3254,1642,,,,,,,
2010. 08,607,10,93.433,92.115,95.052,100.516,94.061,,,187862,152107,35288,5001,3848,1152,8414,4200,4214,8310,4102,4208,8427,3339,5088,4306,2906,1401,,,,,,,
2010. 09,608,10,95.122,96.289,95.433,100.565,94.894,,,187252,151628,35266,5514,4336,1178,9345,3655,5689,8879,3242,5638,9846,3767,6078,5863,3292,2571,,,,,,,
2010. 10,609,10,92.308,102.597,95.433,99.581,93.264,,,187307,151810,35096,4727,3599,1128,11349,5211,6138,9838,3997,5841,11337,4668,6668,6062,4011,2050,,,,,,,
2010. 11,610,10,96.06,94.156,95.528,101.488,95.685,,,187616,151470,35700,3981,3125,856,11401,5156,6245,11284,5052,6232,11137,4842,6295,6461,4390,2071,,,,,,,
2010. 12,611,10,97.561,100.186,95.528,102.986,97.02,,,186983,151759,34902,2802,1956,846,13364,5535,7830,12657,5356,7301,13873,3733,10140,6166,3173,2992,,,,,,,
2011. 01,612,10,98.311,111.039,95.623,103.027,98.224,,,185398,149453,35601,2690,2292,398,16430,5238,11192,15610,4436,11174,18037,4815,13221,5859,4162,1697,188.8,196.4,142,2073247,2244173,1016559,
2011. 02,613,10,90.244,112.616,95.528,97.28,90.758,,,189560,150685,38538,2886,2413,473,14548,5662,8886,14374,5488,8886,10379,4945,5435,6198,4284,1915,164.7,169.2,136.6,2019391,2187412,970958,
2011. 03,614,10,95.497,103.989,95.718,103.192,96.866,,,190924,151991,38587,2961,2265,696,12609,6099,6510,11573,5089,6484,11254,4705,6548,5250,3595,1655,195.6,202.3,155.9,1938909,2092762,1019623,
2011. 04,615,10,92.214,117.718,96.099,98.16,91.881,,,193211,151866,40163,3254,2582,672,13243,5014,8229,12933,4723,8210,11792,5491,6301,6828,4440,2388,191.7,198.2,153.4,2010028,2183528,982268,
2011. 05,616,10,90.807,117.625,96.194,98.018,92.978,,,191215,150392,39597,3011,2188,824,13217,4543,8674,13057,4384,8673,15257,4617,10640,10589,3954,6635,187,192.1,155.9,1944525,2091046,1042634,
2011. 06,617,10,93.246,116.698,96.194,100.153,95.128,,,192440,160229,30981,3579,2807,772,12467,5694,6774,12314,5557,6757,11246,4337,6909,6659,3662,2997,191.1,198.1,149,2025637,2180665,1089549,
2011. 07,618,10,92.308,108.163,96.289,98.851,94.683,,,194109,159946,32978,2777,2271,506,13919,5727,8192,13753,5568,8184,12205,4753,7453,7542,3993,3549,191.6,197.5,151,2053568,2210718,972298,
2011. 08,619,10,95.685,108.163,96.384,102.246,97.842,,,197298,159739,35939,2728,2273,455,12715,5049,7666,12534,4870,7664,9961,4207,5754,6407,3672,2735,187.4,192.8,150.5,2121635,2284267,1014767,
2011. 09,620,10,90.525,103.618,96.48,96.469,93.289,,,198328,162839,33783,2763,2353,410,11316,5474,5843,11082,5240,5842,10372,3506,6866,5842,2883,2959,183.4,188.4,147.9,2222477,2394612,984142,
2011. 10,621,10,92.871,98.516,96.86,98.257,95.578,,,198315,161132,35531,3587,2720,868,9751,3953,5798,9611,3815,5796,9710,3611,6100,5895,3240,2655,182.5,188.7,139.3,2051473,2205601,974147,
2011. 11,622,10,95.591,93.043,97.05,100.771,96.813,,,199931,157044,41544,3639,2314,1325,11253,3574,7679,10906,3271,7634,9328,3599,5729,5201,3284,1917,192.7,198.2,159.5,2020606,2174724,1087369,
2011. 12,623,10,94.465,98.609,97.05,98.422,97.142,,,199934,155813,42857,3215,2318,897,8121,3332,4788,7846,3065,4782,8039,2907,5132,4176,2240,1936,194.9,200.4,161.4,2487265,2718309,1064973,
2012. 01,624,10,90.807,94.156,97.526,97.482,92.798,,,198155,155837,41774,3289,2217,1072,18245,4793,13452,17174,3727,13448,19304,4383,14920,5937,3437,2500,177.4,183.4,144.3,2240744,2465053,998030,
2012. 02,625,10,96.904,96.289,97.526,100.702,96.381,,,203776,157441,45891,3082,2294,788,17072,4659,12413,16749,4346,12403,11351,3632,7719,4627,3008,1619,181.2,189.1,138.7,2100708,2323180,907607,
2012. 03,626,10,95.779,102.134,97.621,99.324,96.888,,,206381,158270,47729,2949,2284,665,14793,6068,8725,13843,5188,8655,12126,4572,7553,5825,3642,2183,185.5,192.4,146.7,2077849,2281955,938983,
2012. 04,627,10,98.311,103.061,97.431,100.665,97.098,,,206034,159583,46054,2693,2051,642,10742,4668,6075,10542,4467,6075,11104,3753,7351,5617,3356,2261,184.1,189.2,153.1,2121506,2309426,975946,
2012. 05,628,10,99.719,100.649,97.716,102.053,98.23,,,205797,160582,44853,2883,2084,799,11721,4319,7403,11577,4180,7397,11923,3690,8233,6250,3359,2891,187.1,193.4,149.2,2069027,2256786,955938,
2012. 06,629,10,96.529,105.102,97.716,99.383,96.472,,,206018,168585,36652,2791,2020,771,11489,4030,7459,11350,3891,7459,11687,3948,7740,5044,3305,1739,181.1,186.4,144.6,2144295,2309039,1000665,
2012. 07,630,10,96.154,100.186,97.812,100.441,97.266,,,207881,169117,38044,3167,1793,1375,14531,4735,9796,13588,3824,9764,12607,3761,8846,5351,3257,2094,188.9,195.5,146.2,2133733,2304183,1033898,
2012. 08,631,10,96.06,92.208,97.907,102.005,97.62,,,205669,172787,31949,2236,1434,802,11079,3448,7632,10672,3040,7632,13504,2967,10537,5579,2661,2918,184.4,191,141,2120321,2290957,1001846,
2012. 09,632,10,96.341,96.846,97.812,101.183,97.449,,,208818,172906,35080,2874,1508,1366,14203,3842,10361,13878,3539,10340,10953,2729,8225,5056,2398,2658,179.6,185,141.7,2353017,2536208,1058139,
2012. 10,633,10,97.936,95.64,97.812,101.724,97.927,,,209390,172848,35594,2875,1917,958,13342,4335,9007,12964,3972,8992,12886,4699,8187,6659,3991,2668,182.1,189.2,134.5,2106164,2278217,962986,
2012. 11,634,10,98.218,96.197,97.812,102.576,98.221,,,208607,169070,38572,2695,2050,645,10176,4017,6159,9783,3625,6159,10976,3927,7049,5268,3566,1702,190.6,198.7,137.3,2055922,2220046,972535,
2012. 12,635,10,97.749,101.113,97.812,100.799,97.309,,,207940,170437,36623,2652,1843,808,9955,4638,5317,9479,4162,5317,10537,2957,7580,4492,2318,2175,180.2,185.2,147.4,2524580,2753054,1039633,
2013. 01,636,10,98.405,105.659,96.004,104.288,98.031,,,207545,175318,31730,3293,2107,1187,9489,4908,4581,8746,4178,4568,9501,4734,4767,4897,3192,1705,192.3,198.9,146.2,2206452,2375554,1025756,
2013. 02,637,10,96.435,108.813,96.004,101.084,94.939,,,211215,175964,34465,3657,3074,583,12848,4248,8600,12134,3534,8600,9466,3971,5496,4990,2744,2246,160.8,170.3,109.9,2242591,2512782,807582,
2013. 03,638,10,93.902,114.935,96.099,102.041,95.705,,,216776,174190,41694,4114,2782,1333,17096,4625,12470,16614,4178,12436,11642,5576,6066,5854,3420,2434,177.4,184.4,140,2150165,2369591,987406,
2013. 04,639,10,96.06,100.928,96.289,101.894,95.339,,,211829,175338,35631,4262,3022,1240,9529,5198,4332,8828,4510,4318,14444,4326,10117,4814,3200,1614,189.9,197.6,145.6,2163053,2350538,1095319,
2013. 05,640,10,96.529,99.351,96.48,103.08,96.779,,,212255,176144,35220,3615,2521,1094,9424,5063,4361,8877,4519,4358,9030,4291,4739,4770,2951,1819,185.8,192.7,145.9,2155068,2336485,1102281,
2013. 06,641,10,95.028,101.206,96.67,100.716,94.51,,,205621,176056,28635,2718,1798,920,10555,4042,6513,10431,3918,6513,17227,4003,13224,4616,2940,1676,172.8,179.2,127.5,2192625,2372780,918446,
2013. 07,642,10,97.28,104.731,96.765,101.442,96.578,,,206482,175870,29723,3114,2162,952,12116,4444,7672,11668,4097,7572,11215,4653,6562,6566,3724,2842,192,200.8,136.9,2234700,2432780,1005792,
2013. 08,643,10,96.998,104.267,96.86,101.951,97.022,,,205814,175408,29431,2762,1897,865,10461,3391,7070,10149,3091,7059,11215,3749,7466,6111,2852,3259,178.2,186.1,128.9,2216301,2420606,958154,
2013. 09,644,10,96.435,100.186,96.67,101.107,97.394,,,203791,175188,27548,2991,2430,561,9162,3569,5593,8751,3158,5593,11265,3788,7477,5143,2841,2302,159.7,168.4,109.3,2367283,2621669,891339,
2013. 10,645,10,99.812,108.813,96.765,103.346,99.483,,,210253,174826,34400,2787,2278,508,16674,3890,12784,16169,3384,12784,10184,4156,6028,5069,2764,2305,183.7,192.5,123.9,2211055,2396010,954669,
2013. 11,646,10,97.092,106.865,96.955,100.299,96.588,,,210593,183145,27016,5063,3269,1794,11896,5076,6821,11577,4756,6821,10962,5711,5251,6691,4621,2070,187.4,191.5,156.8,2161584,2314938,1018490,
2013. 12,647,10,98.124,108.998,96.955,102.641,100.413,,,211519,185291,25802,3422,2499,922,11374,5645,5729,11183,5468,5715,10442,3804,6639,5046,3061,1986,185,189.4,153.7,2589209,2809926,1024475,
2014. 01,648,10,98.593,109.926,99.049,101.744,99.93,5633,5632750140,211101,188579,22106,4589,3652,937,12139,4969,7170,11569,4419,7150,12547,5662,6886,7317,4558,2759,178.4,183,135.2,2395265,2545434,997233,5876
2014. 02,649,10,97.373,105.195,98.858,102.337,98.532,5604,5100208800,207322,189548,17659,5197,3864,1333,11239,4719,6520,10271,3751,6520,14716,5585,9131,6409,4152,2258,169.8,176.8,115.8,2140902,2306642,856610,5871
2014. 03,650,10,98.124,109.647,99.049,99.207,98.149,5677,5280397500,211171,192098,18957,5278,4051,1227,13141,5848,7292,12696,5404,7292,9293,5125,4168,5660,3824,1836,179.8,185.5,136.3,2182619,2341778,963193,5817
2014. 04,651,10,98.78,99.443,99.144,102.597,99.059,6120,6132109480,212120,193235,18669,4388,3673,715,11599,5139,6460,11057,4597,6460,10749,5646,5103,5822,4018,1804,189,195.4,138.1,2218491,2370317,1001009,6090
2014. 05,652,10,97.186,98.052,99.144,99.59,97.49,6042,6029222540,213449,195413,17832,4756,3977,779,11370,5364,6006,11198,5192,6006,10030,4971,5059,6558,4029,2529,176.3,181.1,137,2175124,2309222,1060765,6253
2014. 06,653,10,99.906,106.586,99.144,101.666,100.278,6071,5903616260,214503,196545,17748,4339,3511,828,12393,6010,6382,11870,5488,6382,11345,6853,4491,6418,4550,1868,177.6,181.9,136.7,2323324,2452932,1068004,6227
2014. 07,654,10,100.844,97.31,99.144,102.518,101.557,6666,6507342070,218578,199194,18819,3784,3176,608,12247,5901,6346,11926,5580,6346,8526,5307,3220,5305,3546,1759,194.3,199.7,142.2,2407709,2548360,1047995,6270
2014. 08,655,10,99.437,99.072,98.763,101.579,99.598,6445,6336990040,220729,200374,19771,4040,3649,391,10614,3987,6627,10339,3711,6627,8482,4556,3926,6415,3887,2528,177.8,181.3,144.3,2432674,2575388,1071727,6573
2014. 09,656,10,95.779,110.39,98.763,99.041,97.347,6241,6389273560,220557,201665,18304,3447,3126,321,10888,4881,6007,10597,4590,6007,11064,5407,5656,5867,4541,1326,175.1,179.5,133.2,2473872,2628730,1021163,6553
2014. 10,657,10,97.186,104.082,98.858,99.864,97.846,5745,5802727900,225212,205183,19443,5177,4142,1035,14843,7255,7588,13732,6144,7588,10186,5597,4590,6435,5030,1405,187.8,191.7,143.8,2383383,2499000,1102851,6567
2014. 11,658,10,95.966,98.794,98.858,97.309,93.86,5302,4806909720,226016,207039,18378,4784,3502,1282,10792,4743,6049,10470,4421,6049,10000,4627,5373,5162,3858,1305,182,185.9,140,2294474,2404433,1083689,6807
2014. 12,659,10,98.03,97.495,99.429,99.383,98.603,5448,4985278850,228857,209955,18316,4489,3195,1294,12168,5589,6579,11844,5281,6564,9315,4917,4398,5787,4295,1492,191.2,196.4,136.5,2731172,2888585,1057472,7003
2015. 01,660,10,97.4,100.9,100.4,98.6,98,5948,6035039800,231179,210622,19945,4258,2964,1294,11052,6020,5032,10656,5624,5032,8755,5565,3191,5283,3932,1351,186,190.3,140.9,2410152,2535184,1119229,7091
2015. 02,661,10,102.3,101.9,99.9,102.2,101.2,5743,5265803020,226149,211634,13887,4064,3124,940,9455,4576,4880,8166,3287,4880,14501,4450,10052,4438,3465,973,156.3,158.7,128.8,2628311,2759978,1095531,7081
2015. 03,662,10,98.8,102.7,99.8,99.6,99.8,6155,6438884670,224529,210235,13674,4563,4021,541,9140,4920,4220,8740,4520,4220,10751,6694,4057,6907,5374,1532,190.6,196.6,140.6,2336982,2481016,1139013,7017
2015. 04,663,10,100.3,102,99.4,100.5,99.4,6246,6336810000,221858,209425,11821,4729,4330,399,8170,5630,2540,7327,4787,2540,10833,7007,3826,5962,5008,954,191,195.9,141.1,2382514,2506537,1126630,7211
2015. 05,664,10,99.2,99.2,99.4,98,97.8,5878,5873683280,222713,208752,13347,4895,4270,625,8809,4700,4109,8320,4211,4109,7956,5731,2225,5370,4306,1064,173.1,177.7,128,2351489,2485427,1051523,7385
2015. 06,665,10,99.3,95.8,99.2,100.1,100.2,6269,6562834100,224881,209463,14679,4336,3388,948,10080,4887,5193,9619,4488,5131,8038,4672,3366,4957,3785,1172,189.5,196.3,132.5,2396819,2555815,1069980,7560
2015. 07,666,10,100.3,97.6,99,100.4,99.4,6927,7115983420,225615,210647,14170,4888,3637,1251,8825,6116,2709,8504,5795,2709,8150,5497,2653,5640,4287,1353,194.4,200.6,139.3,2441812,2589193,1134488,7683
2015. 08,667,10,101.1,98.9,99.5,102.6,101.3,6809,7117529740,227668,210831,16195,4273,3410,863,9701,4082,5619,9477,3858,5619,7491,4384,3107,5011,3729,1282,179.5,184.9,132.3,2372930,2519585,1085734,7656
2015. 09,668,10,101.7,99.7,99.7,101.9,102.1,6666,6841403680,228186,211716,15845,5059,4092,967,10786,5153,5633,10478,4845,5633,10251,4661,5590,4514,3803,711,179.5,183.8,131.3,2767613,2918071,1080032,7800
2015. 10,669,10,100.9,99.4,100.7,97.4,99.5,6078,6715691710,229075,213322,15044,4956,3866,1090,10609,5511,5098,10346,5248,5098,9804,5285,4518,4939,4200,739,187.4,192.9,126.1,2373696,2488257,1086081,7890
2015. 11,670,10,99.5,102.9,101.6,99,100,5817,5888481990,230894,214488,15590,4185,3287,898,14853,5755,9098,13383,4285,9098,13141,4625,8516,4651,3722,930,187,192.1,123.6,2377782,2483960,1041249,7901
2015. 12,671,10,101,98,101.5,99.7,101.3,5581,5907830860,236087,216677,18347,3789,2901,888,14146,6736,7409,13847,6438,7409,9200,5078,4122,4751,4092,659,191.4,196.8,126.9,2796360,2942656,1061219,8086
2016. 01,672,10,100.1,99.3,101.6,99,99.5,5948,6359004840,238130,219170,18014,3502,3208,295,14622,7365,7257,12889,5688,7201,12461,5364,7097,4892,4174,718,180.5,185.4,124.6,2621797,2758454,1061424,8056
2016. 02,673,10,102.6,104.2,101.3,101.9,101.8,5979,6383380720,230401,218863,11412,4225,3488,737,8931,4553,4378,8391,4014,4378,15840,5237,10604,5576,4200,1376,161.7,165.6,114.6,2614439,2751409,992530,7928
2016. 03,674,10,103.9,102.7,101.3,102.8,104.1,6304,7035073340,231727,219177,12425,4501,3986,516,11180,6414,4766,10798,6032,4766,9853,6519,3333,5718,4986,732,193,198.5,124.9,2531151,2646916,1081170,7793
2016. 04,675,10,102.2,103,101,101.5,101.2,6253,6589459750,232610,219776,12763,4588,3989,599,9888,6194,3693,9099,5406,3693,8951,5850,3101,5469,4711,758,185.5,188.4,121,2477998,2541395,1069808,8141
2016. 05,676,10,103.7,105.9,101,103.4,104.1,6367,7130097410,233146,220401,12304,4774,4528,246,9171,5488,3684,8538,4854,3684,9005,5371,3634,6348,4616,1732,184.1,186.8,119.6,2493824,2553175,1087655,8329
2016. 06,677,10,101.8,109.4,100.4,102.3,103.2,6319,7029343860,236430,220211,15825,5006,4440,566,12252,5348,6904,12077,5173,6904,8921,5832,3088,5874,4217,1657,186.3,189.9,117.8,2529126,2603493,1092624,8579
2016. 07,678,10,102,106.7,100.7,102.5,103.1,6608,6909719660,239013,221924,16685,4302,3855,448,10302,6700,3602,10042,6440,3602,7729,5231,2499,4976,4508,468,185.1,188.3,125,2605086,2685454,1106332,8629
2016. 08,679,10,103.2,105.5,100.4,103.9,103.5,6695,8029679320,238951,223195,15356,4549,4118,431,11584,5910,5674,10876,5202,5674,11642,5203,6439,5618,4209,1409,186.8,190.9,112.7,2600533,2688727,1005418,8833
2016. 09,680,10,102.8,100,101,101.3,102.7,6368,7530665490,238613,224004,14494,5348,4748,600,9599,4386,5213,9285,4072,5213,9651,3776,5875,4077,3312,764,171.6,176.3,90.2,2821596,2939128,780268,9072
2016. 10,681,10,99.6,99.8,101.4,98.4,100.5,5482,5986112930,240055,225696,14148,6016,5715,301,10671,5704,4967,10292,5325,4967,9326,4525,4802,5086,4210,875,182,185.5,110.1,2536284,2609820,1022249,9163
2016. 11,682,10,104.5,105.3,102.1,103,104.3,5346,6122362550,242780,228821,13741,5287,4748,539,11007,5519,5489,10591,5217,5373,8289,4858,3431,5654,4274,1380,192.7,197.4,107.4,2498698,2579109,1024996,9159
2016. 12,683,10,100,109.3,101.6,99,100.2,5117,5669602070,242827,228487,14122,6002,5248,753,10225,3961,6264,9942,3678,6264,10179,4640,5539,5721,3838,1883,191.4,196.2,123.5,3024035,3166797,990849,9281
2017. 01,684,10,102.1,110.5,101.4,103.9,104.2,5324,5879068820,240675,224973,15348,2686,1963,723,11729,3191,8538,11351,2858,8493,14018,4493,9525,3865,3282,583,176.3,182.8,114.1,3057908,3265012,1053779,9083
2017. 02,685,10,101.7,105.3,100.5,103,102.2,5681,6173495610,237618,223278,14075,3865,3136,729,8285,4236,4049,7790,3741,4049,11252,6225,5027,5269,4278,991,173.5,180,93.3,2537641,2674283,835234,8869
2017. 03,686,10,101.8,117,100.3,103.9,104.4,6031,7086124640,237755,223577,13912,4219,3637,582,9917,4880,5037,9579,4542,5037,9781,5438,4344,6387,4571,1816,189.6,196.8,96.9,2563074,2695366,841437,8763
2017. 04,687,10,100.4,106,99.9,101.7,100.1,6074,6781533250,238200,223963,13468,4514,3743,771,11286,5359,5927,10870,4943,5927,11344,6109,5235,6225,5099,1125,180.5,186.8,102.7,2614083,2753531,910908,8845
2017. 05,688,10,101.9,109,99.6,103.3,102.5,6162,7729487090,239736,224305,14680,4113,3913,200,11471,5037,6434,11195,4761,6434,9916,5281,4635,6078,4890,1188,177.5,183.2,100.9,2585265,2712029,902229,8904
2017. 06,689,10,101.5,113.5,99.4,103.2,103.2,6391,7566467250,239756,225066,13930,3541,3299,242,8310,4688,3623,8259,4643,3616,8299,5117,3182,5613,4401,1212,183.9,188.7,113.8,2723052,2839915,1020018,9100
2017. 07,690,10,100.7,109.1,99.4,101.8,100.7,6654,7450129850,240234,225832,13634,3283,3083,199,9031,5296,3735,9003,5267,3735,8561,5296,3265,5352,4760,592,182.3,188.3,103.1,2712498,2843560,971274,9217
2017. 08,691,10,103.3,111.2,100,104.7,104.1,6917,8738626110,241112,224158,16180,4796,4148,648,11839,4803,7036,11758,4728,7030,10968,7142,3826,7252,5956,1296,183.9,190.3,107.1,2653426,2787498,1022871,9189
2017. 09,692,10,102.8,116.2,100.8,103.7,105.5,6746,8593923640,246906,227856,18355,3799,3063,736,15563,7289,8274,15225,6952,8274,9689,4124,5565,5591,3571,2021,188.2,195,118.5,3062533,3250096,1147886,9415
2017. 10,693,10,107.1,112.9,100.9,104.9,105.8,5664,6924797990,245530,228184,16550,4221,3621,600,13344,4826,8518,12694,4181,8512,14820,5350,9470,5401,4130,1271,157,163,88.7,2608556,2756523,918959,9535
2017. 11,694,10,103.1,118.1,102.2,102.1,103.8,5729,6740838370,246076,229832,15443,4487,3829,658,12558,6853,5705,11987,6286,5702,12018,6552,5466,5957,4959,998,189.2,194.6,113.2,2587243,2693469,1098757,9583
2017. 12,695,10,100.9,111,102.2,100.2,101.8,5554,6389560800,249301,231453,17029,4301,3502,799,12831,5764,7068,12166,5099,7068,9624,4877,4746,4990,4176,814,176.3,182,107.1,3263742,3450703,1001766,9767
2018. 01,696,10,102.9,104.2,103.1,100.5,102.8,6129,7554103760,252056,232247,18968,4745,4354,391,15566,7848,7718,14752,7036,7717,14341,6950,7391,5829,5300,529,187.6,192.3,126,2776338,2892647,1265031,9885
2018. 02,697,10,106.9,107.3,103.2,104.4,105.7,6103,7100170800,249009,233381,14674,4222,3915,307,11328,6292,5037,11002,5966,5037,14490,5702,8788,4949,4452,496,159.9,164.7,104.2,3102953,3272153,1165882,9662
2018. 03,698,10,100.6,103.3,103.2,97.9,100.9,6480,7833661440,250448,235278,14366,4031,3906,125,16270,7783,8487,15773,7286,8487,14680,6663,8017,5887,5202,685,181.5,187.6,108.2,2745420,2871104,1227681,9572
2018. 04,699,10,102.5,104.8,103.3,100.9,102.5,6703,8465481240,251339,235348,15111,4165,3946,218,14911,7474,7438,14686,7249,7438,14097,7477,6619,6594,6141,453,182.6,188,111.8,2673246,2788359,1171967,9680
2018. 05,700,10,106.7,116.1,103.5,105.5,108.6,6907,9598196360,253282,235736,16753,3955,3844,111,15240,6700,8541,14986,6446,8541,13211,6347,6864,5724,5038,686,178,184.9,104,2705988,2865946,1004381,9791
2018. 06,701,10,104,112.5,103.3,101.6,104.8,6893,9202866070,253448,236013,16652,4536,4085,451,13535,7501,6034,13151,7117,6034,13358,7209,6149,6227,5577,650,173.1,179.1,99.1,2794827,2939133,995975,9985
2018. 07,702,10,102.8,115.9,102.5,100.4,102.5,7412,9867679460,255144,237518,16788,4694,4221,473,12963,7435,5528,12613,7093,5520,11322,6065,5258,5952,5346,606,184.2,189.8,115.2,2764626,2894561,1148729,10160
2018. 08,703,10,104.4,110.7,102.7,103.3,104.8,7485,11111006400,258701,239680,18159,5925,5206,719,17430,8952,8478,16824,8346,8478,13896,6607,7289,6934,5744,1190,181.8,186.3,127.6,2780741,2911037,1226386,10221
2018. 09,704,10,104.5,112.6,103.2,101.5,104.4,6867,8961590420,259085,240823,17395,6694,4958,1736,17697,7075,10621,17412,6790,10621,17317,5916,11401,5381,4891,490,159.4,166,97.2,3163552,3386147,1060235,10293
2018. 10,705,10,104.7,114,103.4,102.5,106,6820,10647467530,264541,243594,19749,4873,4430,443,16447,8427,8020,15636,7621,8015,11323,5731,5591,5972,5043,929,181.1,187,106.9,2717781,2847042,1089784,10518
2018. 11,706,10,105.5,120.6,104.6,101.9,106.1,6468,9177839780,266136,244973,19918,5856,4361,1495,15239,7545,7693,14684,6991,7693,13691,5890,7801,5589,5146,443,185.4,192.5,103.2,2677834,2819240,1027237,10529
2018. 12,707,10,103.6,114.3,104.5,100.2,103.8,6141,8298454570,266604,245506,19467,5133,4796,336,16246,6894,9352,15824,6472,9352,16163,6337,9826,6170,5177,994,172.5,179.8,104.6,3255395,3489750,1083683,10710
2019. 01,708,10,110.3,116.9,107,102.9,109.9,7111,10318711540,266060,245832,18582,6546,5079,1467,15598,8119,7479,14850,7371,7479,16157,7762,8396,7140,6312,828,182.4,189.6,111.6,3187894,3384924,1250224,10691
2019. 02,709,10,103.3,118.6,106.9,98.8,103.8,6915,9450067130,265661,248344,15956,3574,3393,181,13927,7279,6649,13130,6500,6630,14040,5890,8150,4913,4519,394,149.8,153.9,95,2939258,3084835,990994,10579
2019. 03,710,10,105.8,110.3,107.2,99.4,106.6,7403,10123391640,267996,249527,17282,3653,3488,165,14554,8028,6526,14062,7536,6526,12044,6664,5380,5666,5110,556,172.3,178.1,107.1,2856693,2995370,1285722,10575
2019. 04,711,10,107.9,110.3,106.7,102,107.5,7921,11701254290,268657,249584,17916,4176,3973,203,12283,7380,4903,11712,6823,4889,11593,7289,4304,6632,6059,573,183.6,190.7,113.3,2809320,2969388,1213654,10920
